epoch:0training loss:tensor(21.8620, grad_fn=<MseLossBackward>)test loss:tensor(19.6877, grad_fn=<MseLossBackward>)
epoch:10training loss:tensor(6.4311, grad_fn=<MseLossBackward>)test loss:tensor(5.1118, grad_fn=<MseLossBackward>)
epoch:20training loss:tensor(1.8502, grad_fn=<MseLossBackward>)test loss:tensor(1.3755, grad_fn=<MseLossBackward>)
epoch:30training loss:tensor(0.5939, grad_fn=<MseLossBackward>)test loss:tensor(0.5410, grad_fn=<MseLossBackward>)
epoch:40training loss:tensor(0.5125, grad_fn=<MseLossBackward>)test loss:tensor(0.5418, grad_fn=<MseLossBackward>)
epoch:50training loss:tensor(0.4310, grad_fn=<MseLossBackward>)test loss:tensor(0.4055, grad_fn=<MseLossBackward>)
epoch:60training loss:tensor(0.2948, grad_fn=<MseLossBackward>)test loss:tensor(0.2869, grad_fn=<MseLossBackward>)
epoch:70training loss:tensor(0.2303, grad_fn=<MseLossBackward>)test loss:tensor(0.2224, grad_fn=<MseLossBackward>)
epoch:80training loss:tensor(0.1678, grad_fn=<MseLossBackward>)test loss:tensor(0.1665, grad_fn=<MseLossBackward>)
epoch:90training loss:tensor(0.1272, grad_fn=<MseLossBackward>)test loss:tensor(0.1284, grad_fn=<MseLossBackward>)
epoch:100training loss:tensor(0.1007, grad_fn=<MseLossBackward>)test loss:tensor(0.1034, grad_fn=<MseLossBackward>)
epoch:110training loss:tensor(0.0824, grad_fn=<MseLossBackward>)test loss:tensor(0.0858, grad_fn=<MseLossBackward>)
epoch:120training loss:tensor(0.0675, grad_fn=<MseLossBackward>)test loss:tensor(0.0712, grad_fn=<MseLossBackward>)
epoch:130training loss:tensor(0.0555, grad_fn=<MseLossBackward>)test loss:tensor(0.0595, grad_fn=<MseLossBackward>)
epoch:140training loss:tensor(0.0464, grad_fn=<MseLossBackward>)test loss:tensor(0.0504, grad_fn=<MseLossBackward>)
epoch:150training loss:tensor(0.0394, grad_fn=<MseLossBackward>)test loss:tensor(0.0435, grad_fn=<MseLossBackward>)
epoch:160training loss:tensor(0.0343, grad_fn=<MseLossBackward>)test loss:tensor(0.0385, grad_fn=<MseLossBackward>)
epoch:170training loss:tensor(0.0304, grad_fn=<MseLossBackward>)test loss:tensor(0.0347, grad_fn=<MseLossBackward>)
epoch:180training loss:tensor(0.0273, grad_fn=<MseLossBackward>)test loss:tensor(0.0315, grad_fn=<MseLossBackward>)
epoch:190training loss:tensor(0.0246, grad_fn=<MseLossBackward>)test loss:tensor(0.0288, grad_fn=<MseLossBackward>)
epoch:200training loss:tensor(0.0224, grad_fn=<MseLossBackward>)test loss:tensor(0.0265, grad_fn=<MseLossBackward>)
epoch:210training loss:tensor(0.0204, grad_fn=<MseLossBackward>)test loss:tensor(0.0245, grad_fn=<MseLossBackward>)
epoch:220training loss:tensor(0.0188, grad_fn=<MseLossBackward>)test loss:tensor(0.0228, grad_fn=<MseLossBackward>)
epoch:230training loss:tensor(0.0173, grad_fn=<MseLossBackward>)test loss:tensor(0.0213, grad_fn=<MseLossBackward>)
epoch:240training loss:tensor(0.0161, grad_fn=<MseLossBackward>)test loss:tensor(0.0200, grad_fn=<MseLossBackward>)
epoch:250training loss:tensor(0.0150, grad_fn=<MseLossBackward>)test loss:tensor(0.0189, grad_fn=<MseLossBackward>)
epoch:260training loss:tensor(0.0141, grad_fn=<MseLossBackward>)test loss:tensor(0.0179, grad_fn=<MseLossBackward>)
epoch:270training loss:tensor(0.0133, grad_fn=<MseLossBackward>)test loss:tensor(0.0170, grad_fn=<MseLossBackward>)
epoch:280training loss:tensor(0.0125, grad_fn=<MseLossBackward>)test loss:tensor(0.0162, grad_fn=<MseLossBackward>)
epoch:290training loss:tensor(0.0118, grad_fn=<MseLossBackward>)test loss:tensor(0.0155, grad_fn=<MseLossBackward>)
epoch:300training loss:tensor(0.0112, grad_fn=<MseLossBackward>)test loss:tensor(0.0148, grad_fn=<MseLossBackward>)
epoch:310training loss:tensor(0.0106, grad_fn=<MseLossBackward>)test loss:tensor(0.0142, grad_fn=<MseLossBackward>)
epoch:320training loss:tensor(0.0100, grad_fn=<MseLossBackward>)test loss:tensor(0.0136, grad_fn=<MseLossBackward>)
epoch:330training loss:tensor(0.0095, grad_fn=<MseLossBackward>)test loss:tensor(0.0131, grad_fn=<MseLossBackward>)
epoch:340training loss:tensor(0.0090, grad_fn=<MseLossBackward>)test loss:tensor(0.0125, grad_fn=<MseLossBackward>)
