,Dataset,N_tr,p,seed,LTH_tr,LTH_te,LTH_epoch,LTH_T
0,0,13279,18,0,0.04599054854275127,0.04908445477485657,15,404.40722155570984
1,0,13279,18,1,0.04241442358577638,0.04573652893304825,22,406.7107276916504
2,0,13279,18,2,0.04437701630599098,0.04848913103342056,33,396.3198091983795
3,0,13279,18,3,0.04424000016541831,0.047393154352903366,22,396.9054846763611
4,0,13280,18,4,0.043005405453918094,0.050029169768095016,43,391.7818834781647
5,1,4700,20,0,0.0049166218517816595,0.01053154282271862,359,168.67662739753723
6,1,4700,20,1,0.0067179211897665245,0.007883581332862377,418,170.16368007659912
7,1,4700,20,2,0.005041247410803287,0.00796316098421812,339,170.40906882286072
8,1,4700,20,3,0.0071388262894294735,0.010323873721063137,359,171.81247472763062
9,1,4700,20,4,0.005956726681545896,0.008195306174457073,339,169.86054611206055
10,2,2670,19,0,0.0797002050628501,0.0805608481168747,4,115.81506514549255
11,2,2670,19,1,0.09420960944313221,0.09619969874620438,8,112.46042799949646
12,2,2670,19,2,0.08187991479371584,0.09110751748085022,6,115.79265975952148
13,2,2671,19,3,0.11049351017310224,0.10431940108537674,7,114.5900137424469
14,2,2671,19,4,0.09594564091753265,0.09567209333181381,11,113.48434448242188
15,3,13903,15,0,0.01925151528281511,0.03961566835641861,146,416.46270728111267
16,3,13903,15,1,0.018645222593832396,0.039150040596723557,144,411.999374628067
17,3,13903,15,2,0.02440301753221426,0.03787901625037193,419,410.35518622398376
18,3,13903,15,3,0.022468552267070622,0.03885580599308014,147,410.7899889945984
19,3,13904,15,4,0.01908705808316506,0.04134795069694519,169,412.6459946632385
20,4,16512,8,0,0.09749788379145612,0.10065288841724396,493,485.62247109413147
21,4,16512,8,1,0.09106579949913331,0.10194428265094757,431,485.70005893707275
22,4,16512,8,2,0.09577450702432701,0.10344024747610092,479,484.02386450767517
23,4,16512,8,3,0.09152219922780297,0.10413146018981934,405,481.4833550453186
24,4,16512,8,4,0.09449006821173701,0.10211063921451569,458,481.71669697761536
