,Dataset,N_tr,p,seed,LTH_tr,LTH_te,LTH_epoch,LTH_T
0,0,800,10,0,0.01740561385728606,0.023449918255209923,38,69.36368107795715
1,0,800,10,1,0.02124060932943988,0.02563619799911976,139,69.22183227539062
2,0,800,10,2,0.025708544649092373,0.03175085037946701,476,59.637818813323975
3,0,800,10,3,0.01579871485309916,0.023740781471133232,37,59.59631681442261
4,0,800,10,4,0.017779759868455522,0.023534979671239853,238,62.31026601791382
5,1,800,10,0,0.033940632047861075,0.04293859004974365,477,60.31848168373108
6,1,800,10,1,0.023717091509816893,0.047630853950977325,339,60.28944206237793
7,1,800,10,2,0.024647997278282482,0.03699081391096115,377,71.24112129211426
8,1,800,10,3,0.022829055744082935,0.034665245562791824,394,62.48778247833252
9,1,800,10,4,0.02128841014849813,0.04245815426111221,276,58.42114043235779
10,2,800,10,0,0.027246730467196643,0.03171733394265175,339,57.40686583518982
11,2,800,10,1,0.0275419439713193,0.034869104623794556,379,57.88354182243347
12,2,800,10,2,0.021090644657867204,0.027735622599720955,299,67.65182375907898
13,2,800,10,3,0.02055997769670898,0.027863547205924988,299,61.13223719596863
14,2,800,10,4,0.02270616310589843,0.03219953924417496,258,60.60251426696777
15,3,800,10,0,0.024925280659211915,0.03163338080048561,299,60.12641644477844
16,3,800,10,1,0.0246545895619676,0.03384198993444443,315,59.53585195541382
17,3,800,10,2,0.017535821808229775,0.028317589312791824,259,70.964191198349
18,3,800,10,3,0.025494084733939153,0.02979695238173008,339,65.93637323379517
19,3,800,10,4,0.01940448565141906,0.03161563351750374,239,66.13029885292053
20,4,800,10,0,0.02905996936102221,0.034323640167713165,339,66.7316484451294
21,4,800,10,1,0.01703830180550322,0.03751130402088165,159,72.71087503433228
22,4,800,10,2,0.015043708371905759,0.03090241551399231,115,71.92828440666199
23,4,800,10,3,0.020318263305533917,0.03756019473075867,179,66.7862753868103
24,4,800,10,4,0.020706980621280683,0.03773839399218559,219,68.18436670303345
25,5,800,10,0,0.024310288825406465,0.03400499001145363,272,66.61137294769287
26,5,800,10,1,0.020713847333712825,0.03012428805232048,319,66.35356211662292
27,5,800,10,2,0.028359125454048287,0.03476303815841675,398,69.10127902030945
28,5,800,10,3,0.026455998394022472,0.024985821917653084,459,71.99163746833801
29,5,800,10,4,0.025583585615644933,0.03039325587451458,319,70.46696925163269
30,6,800,10,0,0.013014223225068325,0.017372174188494682,259,71.19559407234192
31,6,800,10,1,0.01203281606526848,0.015454558655619621,199,69.41375398635864
32,6,800,10,2,0.012696205465351332,0.015387347899377346,239,71.9895122051239
33,6,800,10,3,0.013320237764904926,0.016732748597860336,199,73.35253500938416
34,6,800,10,4,0.01210485837881378,0.015408407896757126,158,70.2788405418396
35,7,800,10,0,0.006675573814885687,0.019274508580565453,139,70.5539026260376
36,7,800,10,1,0.01656178451494826,0.018404049798846245,196,69.73816967010498
37,7,800,10,2,0.023163588921450675,0.02220275066792965,414,70.24305844306946
38,7,800,10,3,0.016900033371179103,0.020248087123036385,339,68.57897615432739
39,7,800,10,4,0.01419895459719756,0.020838025957345963,199,72.2335319519043
40,8,800,10,0,0.022794348709246962,0.02763979323208332,339,70.25944209098816
41,8,800,10,1,0.01844413865733249,0.02843700721859932,279,70.82552409172058
42,8,800,10,2,0.01724142046734815,0.027715975418686867,138,71.34247350692749
43,8,800,10,3,0.02367972934984058,0.02641693875193596,339,69.45903992652893
44,8,800,10,4,0.025095213335303904,0.027289150282740593,396,72.39518022537231
45,9,800,10,0,0.021530943349020143,0.02510354481637478,337,71.93372702598572
46,9,800,10,1,0.011650092278263652,0.022990750148892403,118,75.43026328086853
47,9,800,10,2,0.013071025792878213,0.023127129301428795,79,75.48399138450623
48,9,800,10,3,0.015705618403330405,0.021350102499127388,156,74.76299977302551
49,9,800,10,4,0.01403614384046559,0.021631062030792236,119,86.26757526397705
