,Dataset,N_tr,seed,DetectT,Masktr,Maskte,Maskepoch,MaskT,Masksize,FCtr,FCte,FCepoch,FCT,FCsize,RFtr,RFte,RFT
0,0,13279,0,32.95849299430847,0.04528038155685769,0.04754330590367317,272,185.70032858848572,7633.48828125,0.044372046975345206,0.04874005913734436,22,220.04588723182678,19529.7734375,0.029816601658317753,0.06937048925646051,1.0456345081329346
1,0,13279,1,34.250953912734985,0.04271933260968123,0.045141737908124924,296,195.27725744247437,7633.48828125,0.04233926044303641,0.04619607329368591,26,206.9047977924347,19529.7734375,0.027859952045562415,0.06423042388928482,1.0377397537231445
2,0,13279,2,35.75843381881714,0.04513604245393857,0.048327941447496414,213,196.90428280830383,7633.48828125,0.04368296952857877,0.048906538635492325,24,207.88958740234375,19529.7734375,0.029398930220727554,0.06939402850449901,0.846644401550293
3,0,13279,3,34.80852746963501,0.04470564798580918,0.04734238237142563,295,193.51347613334656,7633.48828125,0.04407594331511691,0.047506194561719894,21,210.26334619522095,19529.7734375,0.02881637229882159,0.06860779285733135,1.1271798610687256
4,0,13280,4,36.110493183135986,0.04680828482066662,0.04915943369269371,267,195.07097864151,7633.48828125,0.04529245667195543,0.05007893592119217,27,207.76659393310547,19529.7734375,0.030398324083284457,0.07031223691871394,0.9064028263092041
5,1,4700,0,37.489540338516235,0.018626312792885145,0.021745190024375916,299,81.03778958320618,8108.44921875,0.007473747689304118,0.026257434859871864,299,86.93996000289917,19568.8359375,0.004994597641854552,0.01209019502423029,0.4192850589752197
6,1,4700,1,32.570253133773804,0.013763947177812706,0.016564002260565758,292,77.99043345451355,8108.44921875,0.002150567653854933,0.024995792657136917,283,85.83076810836792,19568.8359375,0.00571129983695191,0.011768810763095256,0.540424108505249
7,1,4700,2,38.38162016868591,0.01908681326242713,0.022396139800548553,296,77.33499360084534,8108.44921875,0.003493965616462682,0.020823003724217415,257,86.6795072555542,19568.8359375,0.006663206434815831,0.011468616823960553,0.5639922618865967
8,1,4700,3,35.49961042404175,0.017530688001895795,0.021428441628813744,299,77.7176263332367,8108.44921875,0.0027060031690067142,0.03122672624886036,299,88.20285725593567,19568.8359375,0.0053959838609228435,0.010943598621040317,0.539952278137207
9,1,4700,4,33.21099591255188,0.016414781684353827,0.020209921523928642,294,78.67068028450012,8108.44921875,0.002929134114273804,0.022438257932662964,285,87.19825005531311,19568.8359375,0.004949294790895015,0.010406644129681421,0.5397183895111084
10,2,2670,0,41.71621012687683,0.08106928673251633,0.08055716007947922,48,46.41904830932617,7869.1796875,0.08126104650068723,0.08148594200611115,9,57.966036319732666,19549.3046875,0.03740996305703283,0.0917983815225894,0.3629426956176758
11,2,2670,1,38.41268730163574,0.0995737096468546,0.09473545104265213,30,44.705512285232544,7869.1796875,0.10543382626031333,0.09527727961540222,8,54.52758169174194,19549.3046875,0.04542975986977121,0.10407035912667362,0.257152795791626
