,TrRatio,Dataset,N_tr,seed,DetectT,Masktr,Maskte,Maskepoch,MaskT,Masksize,FCtr,FCte,FCepoch,FCT,FCsize,RFtr,RFte,RFT
0,0.2,0,1600,0,18.421344995498657,0.013724643721085407,0.017714163288474083,200,40.45623755455017,1504.38671875,0.013304972278162063,0.02000170387327671,16,61.95923614501953,19373.5234375,0.01904060492508017,0.0425555513523579,0.1295943260192871
1,0.2,0,1600,1,15.963876724243164,0.01347956161772255,0.01741844043135643,323,40.941792488098145,1504.38671875,0.014483464560261955,0.01924741454422474,22,68.70127201080322,19373.5234375,0.019811293274826045,0.04360962430132314,0.1238255500793457
2,0.2,0,1600,2,18.350798845291138,0.0138065404135629,0.01765460893511772,265,40.500372886657715,1504.38671875,0.013927724912443356,0.019547101110219955,17,68.14496374130249,19373.5234375,0.01900648208175499,0.043661380912236536,0.14336514472961426
3,0.2,0,1600,3,21.85103702545166,0.01355815659007473,0.017438558861613274,306,40.48054122924805,1504.38671875,0.0161996497140263,0.01982829160988331,11,70.10864019393921,19373.5234375,0.020263688302322308,0.04486867272294939,0.1318950653076172
4,0.2,0,1600,4,18.28237247467041,0.01372290109735816,0.01732686348259449,196,41.95084095001221,1504.38671875,0.010542151657035575,0.020042365416884422,35,75.05383539199829,19373.5234375,0.019519514543942382,0.04407707940148161,0.10836672782897949
5,0.2,1,1600,0,22.933711528778076,0.013558473812132944,0.01817147061228752,389,40.51107215881348,1504.38671875,0.0009015812461203852,0.03403903543949127,374,65.10881018638611,19373.5234375,0.035894038170608544,0.08887627326859035,0.12950778007507324
6,0.2,1,1600,1,23.78257703781128,0.012890942984783164,0.018471043556928635,388,40.500138998031616,1504.38671875,0.003092611242100598,0.03351517766714096,253,54.055484771728516,19373.5234375,0.03472218334259819,0.09081733035086777,0.1412065029144287
7,0.2,1,1600,2,22.039177417755127,0.012244837602836197,0.01855454221367836,399,41.53482532501221,1504.38671875,0.007686033327203795,0.03489977866411209,391,54.16185164451599,19373.5234375,0.0356285058979652,0.0885903530730416,0.1314077377319336
8,0.2,1,1600,3,18.93705129623413,0.013909645085530619,0.020022675395011902,395,40.828696966171265,1504.38671875,0.00414429865475978,0.032761745154857635,308,54.003185749053955,19373.5234375,0.03576017575022927,0.0877505578103087,0.15888714790344238
9,0.2,1,1600,4,21.03206491470337,0.011906593166490382,0.018190091475844383,366,39.98089098930359,1504.38671875,0.0009113570789442147,0.03329118341207504,310,53.70768928527832,19373.5234375,0.0342792518259402,0.08812715142500809,0.12531018257141113
10,0.2,2,1600,0,18.721694231033325,0.011725571774338892,0.017655879259109497,394,39.98877501487732,1504.38671875,0.00312110863305085,0.026408929377794266,296,53.874857664108276,19373.5234375,0.02713103493476246,0.06084508547153361,0.13518071174621582
11,0.2,2,1600,1,17.4185528755188,0.013965726684237494,0.02054860256612301,356,40.74734354019165,1504.38671875,0.005002389648975529,0.0297322329133749,394,55.32338762283325,19373.5234375,0.028169826166674402,0.06297380652606953,0.15388989448547363
12,0.2,2,1600,2,21.242260217666626,0.011523201015449794,0.018253089860081673,396,40.475340843200684,1504.38671875,0.012069265171076855,0.02784661389887333,396,54.308523654937744,19373.5234375,0.02738283949530313,0.06274306101515438,0.1394665241241455
13,0.2,2,1600,3,21.869906187057495,0.012449588456663878,0.020343035459518433,398,40.919841051101685,1504.38671875,0.0017664704177645736,0.02856488525867462,340,54.587085485458374,19373.5234375,0.027709917450704304,0.06370778869891536,0.11809611320495605
14,0.2,2,1600,4,18.70870542526245,0.00958640698678857,0.015154600143432617,376,40.29935932159424,1504.38671875,0.0009075666623444815,0.029512234032154083,387,54.03336429595947,19373.5234375,0.028431004841326116,0.06587678830923269,0.13918399810791016
