,TrRatio,Dataset,N_tr,seed,DetectT,Masktr,Maskte,Maskepoch,MaskT,Masksize,FCtr,FCte,FCepoch,FCT,FCsize,RFtr,RFte,RFT
0,0.2,0,1600,0,18.421345,0.013724644,0.017714163,200,40.45623755,1504.386719,0.013304972,0.020001704,16,61.95923615,19373.52344,0.019040605,0.042555551,0.129594326
1,0.2,0,1600,1,15.96387672,0.013479562,0.01741844,323,40.94179249,1504.386719,0.014483465,0.019247415,22,68.70127201,19373.52344,0.019811293,0.043609624,0.12382555
2,0.2,0,1600,2,18.35079885,0.01380654,0.017654609,265,40.50037289,1504.386719,0.013927725,0.019547101,17,68.14496374,19373.52344,0.019006482,0.043661381,0.143365145
3,0.2,0,1600,3,21.85103703,0.013558157,0.017438559,306,40.48054123,1504.386719,0.01619965,0.019828292,11,70.10864019,19373.52344,0.020263688,0.044868673,0.131895065
4,0.2,0,1600,4,18.28237247,0.013722901,0.017326863,196,41.95084095,1504.386719,0.010542152,0.020042365,35,75.05383539,19373.52344,0.019519515,0.044077079,0.108366728
50,0.15,0,1200,0,11.9536531,0.013693309,0.018075403,173,29.11556101,1504.386719,0.010480658,0.020368202,21,43.22378755,19373.52344,0.021165101,0.044733525,0.092260361
51,0.15,0,1200,1,13.7467947,0.013057288,0.018007208,328,29.77137041,1504.386719,0.01292128,0.019371735,25,42.71270418,19373.52344,0.021438894,0.045687926,0.089813948
52,0.15,0,1200,2,15.05825019,0.013950431,0.018449685,194,28.86356997,1504.386719,0.015119535,0.020227037,14,43.44676328,19373.52344,0.020481351,0.046419511,0.112475157
53,0.15,0,1200,3,14.32962751,0.013746768,0.018064486,253,28.02103519,1504.386719,0.013697887,0.01984499,22,44.91981006,19373.52344,0.020991072,0.047075945,0.111611605
54,0.15,0,1200,4,13.4594574,0.013835419,0.018172001,157,30.52615404,1504.386719,0.01148984,0.020186597,24,43.56347919,19373.52344,0.021062616,0.04884478,0.091664553
100,0.1,0,800,0,43.44873452,0.013436636,0.018646669,238,21.29967642,1504.386719,0.013849519,0.020006616,24,35.53269458,19373.52344,0.022718568,0.048881419,0.053621769
